epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.258,1.48585,2.93902,1.30622,0.9166,0.26744,0.59108,0.30637,1.501,3.169,1.28799,0.000657895,0.000657895,0.000657895
2,120.997,1.58469,2.24705,1.38841,0.68649,0.73256,0.66515,0.30236,1.64835,2.33211,1.46928,0.001259,0.001259,0.001259
3,186.249,1.50556,2.06858,1.31041,0.83663,0.59548,0.68618,0.37777,1.63396,2.36085,1.42964,0.0017941,0.0017941,0.0017941
4,250.915,1.58096,1.97775,1.39289,0.76183,0.7067,0.75309,0.42192,1.62054,2.02793,1.47623,0.001703,0.001703,0.001703
5,317.419,1.50391,1.73883,1.33315,0.78597,0.69767,0.78017,0.43918,1.54,1.85913,1.40692,0.001604,0.001604,0.001604
6,386.054,1.58976,1.59956,1.34983,0.80956,0.69205,0.76933,0.40309,1.58794,1.79482,1.38263,0.001505,0.001505,0.001505
7,455.837,1.48475,1.53408,1.3357,0.84157,0.67949,0.75984,0.39696,1.58487,1.64327,1.3717,0.001406,0.001406,0.001406
8,523.049,1.4628,1.40498,1.29971,0.83279,0.74419,0.7835,0.45838,1.53252,1.61574,1.39022,0.001307,0.001307,0.001307
9,592.637,1.40607,1.32898,1.29037,0.80612,0.76744,0.80844,0.44749,1.48504,1.48824,1.37854,0.001208,0.001208,0.001208
10,663.175,1.455,1.24997,1.30374,0.82302,0.73256,0.81057,0.48082,1.49945,1.4049,1.40675,0.001109,0.001109,0.001109
11,731.74,1.41175,1.40123,1.27557,0.56755,0.7907,0.67786,0.40577,1.44882,1.57864,1.33675,0.00101,0.00101,0.00101
12,800.855,1.36517,1.28232,1.26371,0.76647,0.7907,0.80051,0.45186,1.4995,1.36374,1.35934,0.000911,0.000911,0.000911
13,871.211,1.37439,1.20673,1.28568,0.84671,0.70652,0.80648,0.46279,1.50318,1.30079,1.34388,0.000812,0.000812,0.000812
14,941.584,1.35616,1.13639,1.27994,0.86029,0.75581,0.8199,0.4864,1.46925,1.23042,1.3329,0.000713,0.000713,0.000713
15,1008.66,1.28803,1.11205,1.25091,0.8617,0.74419,0.84251,0.50967,1.39539,1.1337,1.27989,0.000614,0.000614,0.000614
16,1079.55,1.29914,1.05843,1.20642,0.78142,0.7907,0.76362,0.45717,1.37585,1.21857,1.30157,0.000515,0.000515,0.000515
17,1151.42,1.24976,1.00665,1.19756,0.83152,0.82558,0.81378,0.51146,1.37687,1.08795,1.26187,0.000416,0.000416,0.000416
18,1222.8,1.24563,0.98935,1.19674,0.81894,0.81395,0.83247,0.50542,1.35171,1.08136,1.24129,0.000317,0.000317,0.000317
19,1293.25,1.19492,0.94101,1.18121,0.79594,0.81639,0.81313,0.50109,1.33431,1.08173,1.23098,0.000218,0.000218,0.000218
20,1362.57,1.21175,0.93112,1.18862,0.85579,0.7907,0.85349,0.53333,1.33336,1.0828,1.22844,0.000119,0.000119,0.000119
